Terim,Frekans
işbirli,140
iştahlı,6
itibar,23
iyi fikir,2
iyi puan,2
iyi yemek,10
iyice,33
iyilik,29
 izin,81
jest,15
joker,170
kabul,84
kalp,23
kalb,30
kalıcı,4
kaliteli,14
kanka,49
kardeşim,195
kardeşlerim,49
karlı,16
kazan,332
kefil,1
kesintisiz,1
keyf,60
keyif,30
kızarmış,34
kibar,7
kolay,114
kral,157
kurban,13
latif,1
layık,4
leziz,4
lezzetli,25
nefis,5
lokum,3
makbul,1
mantıklı,27
medeni,5
memnuniyet,14
merhamet,3
mesut,2
meşhur,9
minimum tutar,11
minnet,9
 mis ,23
motivasyon,3
muhteşem,15
mutlu,136
mükemmel,18
müsade,2
müsaade,2
müsait ,31
nazik,12
nitelikli,1
nizam,4
olağanüstü,2
olumlu,2
onay,80
onur,11
optimum,2
otomasyon,1
otomatik,18
öncelik,8
önem,250
öner,843
özel,209
özendir,2
özenli,3
patla,44
 piri ,5
pişkin,3
pişmiş,14
 pls ,8
pozitif,22
prestij,1
profesyonel,4
promosyon,13
rahat,122
rica,62
rüzgar,4
safa,2
sağlam,23
sağlıklı,66
sakin,32
salim,2
saygılı,3
saygın,1
sefa,7
 seri,14
sev,696
sıcacık,6
sipariş onay,15
sistem,195
sorumlu,22
stalk,2
sürekli,239
sürpriz,28
şahane,8
şerefine,4
şevk,1
şımart,12
şükran,1
şükür,34
taahhüt,1
tadı güzel,2
takdir,4
takip,61
taktir,2
talep,110
tarafsız,1
tatlı,225
tavla,1
taze,13
tecrübe,5
teklif,12
telafi,24
temel,37
temiz,80
terbiyeli,3
teşekkür,191
teşfik,2
teşvik,4
 tez ,4
titiz,2
tolerans,1
toparla,4
toplu,160
tutul,9
ucuz,57
umut,16
usta,74
uyanık,2
uygun,47
 uyum,41
ücretsiz,19
üstlen,4
üstün,26
vaktinde,4
verimli,4
vurul,1
yakın,115
yakışıklı,15
yakışır,2
yarar,22
yardım,233
yaşasın,11
yemek video,24
yeni ,196
yerinde,49
yeterli,18
yoğunlaş,2
yöntem,20
yüce,6
zahmet olmazsa,1
zevkli,2
abart,23
abes,2
abidik gubidik,2
abuk sabuk,2
antin kuntin,2
absürt,1
acayip,14
acemi,4
toy,13
 acı ,60
acitasyon,1
aç kald,40
 açık ,158
 açım,81
 açız,32
açlıktan bayıl,5
 adi ,5
 ağır,35
ağlıcam,9
ağlicam,3
ahlaksız,5
 aksak,5
 aksi ,2
alakasız,4
alt tarafı,9
 amk,160
amq,5
aq,221
 mk ,13
skm,2
skt,10
 söv,28
andaval,5
anksiyete,6
anlamsız,4
arıza,5
asılsız,2
aşağı,26
aşınmış,2
aşırı yağ,1
çok yağlı,7
ayar ol,4
 ayıp,65
 ayı ,12
 azal,38
azar ye,17
 azarla,1
bağlanam,19
bağlanm,23
bahane,28
balık hafıza,1
balon,4
 banla,3
yasak,220
basit,31
başarısız,4
 bat,65
bayağı,5
bayat,14
baygın,2
beceriksiz,9
beddua,1
beğenm,32
beklet,56
belanı versin,5
belanızı versin,6
bencil,6
bitmiştir,9
berbat,33
bereket,30
beter,6
beyhude,1
beyinsiz,1
bez,27
bıkkın,1
bıktım,19
bilgisiz,2
bilinçsiz,107
 bilme,124
bin pişman,4
daha asla,1
bitkin,2
blokl,2
 bok ,26
bomboş,1
boş yere,11
boşuna,27
 boş ,137
botla,3
boykot,98
bozuk,37
bozulmuş,3
böcek,15
 bulan,20
 buz ,78
donmuş,4
büyütme,1
cahil,9
camış,1
cansız,2
cenabet,1
cennet,7
cereme,13
cesaretim yok,3
ceza,42
 cılk,1
crash,1
çakal,6
çamur,6
çekin,32
çelişki,1
çıkar,355
çıkış,18
çıldır,16
 çiğ ,63
pişmemiş,12
çirkin,2
çok kötü,36
çökmüş,14
çöktü,28
 çöp ,17
çürü,11
dağ baş,3
dağbaş,1
dağın baş,4
dağıl,4
dağınık,2
dalgın,4
dandik,81
 dar ,7
dayanma sınır,16
dedikodu,8
değersiz,1
deli ol,5
delir,23
dengesiz,4
dert,19
 dışı,178
diken üst,1
doym,44
dökülmüş,1
dönek,1
dram,4
duyar kas,4
duygu sömür,2
duyarsız,2
düğüm,84
düşman,13
düşük,25
düşüncesiz,3
düzenbaz,1
düzensiz,1
edepsiz,1
 eksik ,131
 eksi ,5
eleştiri,5
enayi,33
 engel,36
erimiş,3
 ertele,4
 eşek ,3
eyvah,4
 ezik,4
fake,1
fani,1
fasa fiso,1
faydasız,1
fazla,233
felaket,12
feleğim şaş,1
fena,44
fırsatç,12
fiyasko,14
gaflet,6
gazabına uğra,1
geber,7
gecik,57
geç gelen,59
geçici,12
gelm,846
gereksiz,22
gergin,18
geril,12
getirem,38
getirm,343
gıcık,5
gına gel,2
görgüsüz,6
gözü karart,1
gudubet,1
hadsiz,4
hak etmiyor,133
hakaret,8
haksız,8
halt,2
hamur,27
haram,15
hatalı,11
hayal kırık,8
haysiyetsiz,1
hayvan,45
hazetm,1
hikaye,23
 ırak ,1
 uzak,99
ıslanm,6
ıssız,2
iade,87
ibne,8
iflah olm,13
iflas,2
iğren,18
ihmal,3
ihtar,1
ilgisiz,3
 illet,7
insaf,13
iptal,540
israf,106
 isteme,127
 istemiyor,125
istismar,11
isyan,14
işkence,8
işsiz,20
iştahsız,1
 itici,3
iyi değil,6
kaba ,4
kafayı ye,29
kafayı yi,9
kahretsin,15
kahrolsun,1
kalas,1
kaldık,43
kaldım,67
 kalm,275
kan emici,3
kanser,12
kapısının önü,2
kara kara düşün,432
kara liste,5
karışık,28
kaybet,31
kayış,4
kazık,18
kendimi tut,10
keşke,133
 kını,10
kırıl,16
kıtlık,1
kifayetsiz,1
kilo ,118
kirlenmiş,1
kirli,4
kitle,19
kokan,4
kokm,2
kopya,18
korkunç,9
köle,69
kömür,6
kötü ,199
köylü,7
 kuru ,20
kusm,6
kusur,41
küçük,148
küflü,4
küstah,3
 laf ,16
lakayıt,1
lanet,29
nalet,2
lastik,14
leke,45
 leş ,10
lezzetsiz,5
lüzumsuz,1
mağdur,47
mahsur,2
mantıksız,4
manyak,15
maraz doğ,1
mesele,14
midem bulan,10
mikrop,4
minik,8
muhatap,8
mutsuz,28
nefret,32
negatif,7
olacaksa ol,13
odun,23
 oha ,7
olumsuz,9
or*spuçocuğu,4
orospu,37
ortadan kaldır,1
oyala,8
öküz,41
 ölü ,16
özensiz,4
özür,72
pahalı,59
panik,7
paranoyak,10
pezevenk,6
 pis ,19
pişman,72
problem,35
psikopat,6
rasgele,1
reddet,3
rezalet,50
rezil,102
risk,75
rötar,1
ruh hasta,7
saçma,90
 saç ,4
sağlıksız,23
sahte,6
sakat,4
sakınca,4
salak,61
salla,30
saman,3
sası,40
savsak,1
saygısız,9
sebepsiz,3
serseri,3
sert,3
ses seda yok,2
sıfır,28
sıkıl,53
sıkıntı,77
sıradan,7
sızlan,15
sinek,4
sipariş hata,2
sipariş iptal,88
sitem,5
sivrisinek,2
skandal,16
soğukta,35
soğuk,66
soğumuş,4
sorm,49
sorumsuz,2
sorun,200
sömür,23
sözde,12
 suç,79
sürün,8
şaka,58
şans gülm,1
şerefsiz,24
şeytan,7
şımarık,5
şikayet,133
şişir,4
şişko patates,1
şopar,1
şüpheli,1
taciz,245
tadı yok,2
takat,2
talan et,1
talihsiz,2
tasa ,1
taş ,33
tatava yap,3
tatsız,1
tehlike,45
tekel,9
telaş,4
tembel,8
terbiyesiz,20
ters,138
tırs,14
toz,7
trib,10
trip,22
tuzsuz,1
tüketme,36
tükür,19
tüy,18
uçurum,1
ufak,52
uğraş,86
ukala,7
 ulan,55
ulaşam,67
ulaşmam,5
ulaşm,77
umrumda değil,4
umrunda değil,4
umursam,7
unutmuş,48
unutul,9
 usan,1
 utan,54
uyar,98
uydur,46
ürkütücü,1
 üşen,110
üzgün,59
üzül,72
üzüyo,9
üzücü,5
vahim,3
vasat,6
vazgeç,69
verem,358
verimsiz,1
vıcık,6
vicdan azab,14
vicdansız,9
vizyonsuz,8
yağı don,1
yağsız,2
yalaka,1
yalan,68
yanlış,219
yamuk,1
yanık,4
yanıl,9
yanmış,5
yapışmış,1
yaram,18
yaratık,2
yaşlan,2
yavaş,64
yavşak,87
yazık,89
yemek yok,475
yemiyo,105
yerlerde,136
yeter artık,3
yeter yahu,1
yetersiz,9
 yok ,1840
yorgun,27
zararlı,5
zarar ,24
zehir,17
zevksiz,1
zıkkım,14
ziyan,5
zor bela,1
zoraki,2
zorla,63
zorunda bırak,6
zorunda kal,431
