Dokuman_Numarasi,Tweet_Metni,Gercek_Duygu_Sinifi,Gercek_Urunhiz_Sinifi
D21,haftadır gün peynirli ekmek yemek aplikasyon telefon sipariş vermeyi deniyorum  haftadır hergun yiyemedim yediremiyorsaniz çekilin kenara,0,0
D25,bugun posta kutuma yarim dakika arayla dusen 2 posta hangisine inanalim soyle diyeyim gorunce hicbir sey siparis veresim gelmiyor sitenizden cunku guvenilirliginiz dusuyor,2,2
D33,bu rezillik yarım dakikatir bilgi almak bekliyorum tam 1 dakikatir sipariş bekliyorum sisteminiz çökmüşyse söyleyin alternatif uygulamaları kullanalım yemeksepetiçökmüş,0,0
D34,yemeksepeti'nden sipariş vermiştim dakika bekledim bekledim gelmedi şekilde şubeyle konuşmayı başardım meğer k,0,0
D38,ilk 3 sipariş toplamı 47 milyon 50 milyon diyelim ortalama 20 lira verilse siparişe 1 milyarlira yemeksepeti yüzde 10 alıyor biliyorum burdan 100 milyonlira gelir paraya bak moralim bozuldu sigara yakayım,0,2
D40,30 dakikadır bağlancaz he 70 dakikadır sipariş bekliyoruz,0,0
D43,yemeksepeti sağolsun joker iptali sayesinde direk sipariş verip ucuza alabiliyorum aradanlirakazanmak kolay ülkede,1,0
D44,yemeksepeti'nden sipariş vermiştim dakika bekledim bekledim gelmedi şekilde şubeyle konuşmayı başardım meğer kurye siparişimi yemişşş,0,0
D45,neden dm istiyorusunuz yazdım siparişi kontrol edin joker haber vermeden siparişi iptal ettiğinizi görün 200 metre mesafeden sipariş 14 40 dan beri ulaşmamamamamamamadı,0,0
D47," 
sipariş tarihi  1 01 2020 14 40 14   dominos tan verilen siparişi joker çıktı iptal ettiren yemeksepeti ni kınıyorum",0,0
D48,bu  'nde konume göre minimum paket tutarı belirleniyor gidip o tutarı 3 5 lira geçerek sipariş veriyorum restoran keyfine göre o konumye minimum paket tutarının sipariş iptal ediyoruz diyebiliyor kardeşim çalışmayacaksanız açmayın dükkanı,0,0
D49,yemeksepeti'nde sürekli sipariş verdiğim yer kapanınca usta grup açmış geçen konuşma,2,2
D50,buraya sipariş gidebiliyor mu,2,0
D52,sayfanızda sipariş yolda gözüküyor dakikaler geçiyorcallcenter kişiye bağlanamıyorum telefonla arıyorum yetkili birine aktarıyorum beklebekle açmıyor yılbaşıdiye tatilseniz belirtirsiniz insanlarıda boşuna bekletemezsiniz,0,0
D54,sayın 40 dakikadır sipariş bekliyoruz açlıktan ölelim mi,0,0
D55,yav yok biliyorum kardeşler pide salonunun sipariş kağıtlarını dağıtıyorlardı şaapmayın,2,2
D57,bu dakikate miiii,0,2
D61,bak nevzat aydın başkan yemeksepetini ortamlara girmek delivery hero'ya sattı pizza lahmacun siparişi verdiriyor yalansa gelsin sipariş callcentera izah etsin kardeşim bıçak kemiğe dayandı,0,2
D63,mümkünü yoktur döner türlü lahmacunu geçer o araştırmayı yapanlar verilen sipariş üzerinden değerlendirmiştir döner %80 mekana giderek lahmacun %80 eve sipariş edilerek tüketiliyor gölcükte et tavuk günlük tüketim dönerde 700 kg konumıdır lahmacun 50 kg yi geçmez,2,2
D64,ülkemizde çok sipariş edilen gıdalar lahmacun % 50 ucuz açlıktan ölmeyi önler döner %40 uygun fiyat doyurucu kebap % 10 pahalı lüks tıka basa yenir eeeeeee fakir yemeği %90 çok zenginler %10 anladık mı ülkenin hali pür melali,2,2
D67,kütüphanede ders çalışırken ara verip manitayla mi hayalimiz,1,2
D68,kütüphanede ders çalışırken ara verip manitayla mi hayalimiz,1,2
D76,lahmacun sipariş verelim ikna edemiyorum milleti misin ikna olmayan notlarını sakladım sınava çalışmak istiyorsan lahmacun yiycez sonuç olarak sayemde lahmacun yiyecek mal çok iyi arkadaşım ben,1,2
D77,kemalistle dm den atıştık  çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D78,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D79,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D80,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D81,kemalistle dm den atıştık  çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D82,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D83,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D84,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D85,kemalistle dm den atıştık çok sinirlendirdi ver lan konumini verdi 86 adet ettim konumin,2,2
D86,aksam hamburger siparis verirken hediye sekersiz kola gönderiyolardı alıyım tadına baktım les gibi ne,0,1
D87,yediğim mantarlı kremalı isveç köfte idi annem etti mecburiyetten oturduğumuz defa denedigimiz restaurant idi tavsiye etmiyorum,0,2
D88,aç olmadığım halde ettim yarın başlasın diyettt new year new me,0,2
D94,yetmezmis gibi isim benzerliginden yanlislikla kapisinin önünden gecmeyecegimiz yerden et döner siparis etmisim sabrimi zorlama 2020,0,2
D104,öncüden mi ettik aliexpressten mi anlamadım,0,0
D105,yemek sipariş ettiğim restoran kişilik servis koymuş tek kişiyim söyleyeceklerim kadar,0,0
D107,bunun yıkıklıkla alakası amıcık söylediğin yemek burgerdan sipariş edildiyse dünyanın güzel aktivitesi,1,2
D108,dakika 6 18 kanat porsiyon sipariş ettim yemek olanından evet,0,2
D109,geceyarısı ediyorumdur,2,2
D110,bir gün hepimizin sınav haftası ediyoruz gün hepimizin canı istedi gün depresyondayız bugün yurtta son günümüz düştüm çukura çıkamıyorum,1,2
D111,dün öğrenci evine gittim arkadasımın lisans yüksek öğrencisi kalıyorlar  dışarıdan verme işini koşullara bağlamışlar anda minimum olumsuz koşul sağlanıyorsa sipariş verebiliyorlar olumsuz koşul paraları varsa sipariş yasak,2,2
D112,yemek sipariş etmiştim adam kapıda 50lira bozamadı  dur abi arkadaşa sorayım arkadaşım olmadığı odaya geçip bilgisayara yazdım o bozamadı zaten,0,0
D113,yemek yapıcam yapayım sorup pizza sipariş eden koca yürekli kızzz,1,2
D115,buzdolabı bozuk 8 aydır calısmıyor adamı bız mı düsünücez iyi sohbetler yemek sepetınden sıparıs ver oturum sız cıktım hadi iyi gunler gece yok,2,2
D116,evde yemek varken yemek siparis edersem evden ölüm çıkar,0,2
D117,aklı olan esnaf kabul etmez yemeksepeti den adam joker le sipariş geçiyor gitti cironun yarisi üzerine debit mi finishim ortada kar olmadığı gibi cebinden yemek ısmarlarsin,0,2
D118,ayın yılın başı çarşıya yemek gitmeyeyim sipariş vereyim tek porsiyon eleman çıkaramam adam  neymiş mesafe uzakmış mesafe me sa fe  erzincan'da mesafe şey yok erzincan'da mesafe şey yok,0,0
D119,dışarı zamandır çıkıyorsam awmde vericem kadın kadına bakıyoz konuşmayı unutmuşum,0,2
D120,yemek sepetinden eve sipariş vereceğime iş yerime vermişim  açlıktan ölüyorum  tivit kadar,2,2
D121,hemen yemek sepetinden sağlıklı edeyim  baba dee's,1,1
D122,oda arkadaşlarım sınavdayken düşünmeyip vermişler  2020'nin ağır darbesini yaşadım müddet kendime gelemem sanırım,0,2
D123,burger king yiyen sipariş eden gs liyimm demesin fatih terim locadaki yemek sponorunu cebinden ödeyerek fesih ettiğini unutmayın,2,2
D124,bedava yemek ciksa siparis veremiyorum adam bahsis ister diye,0,0
D125,az sipariş ettiğim yemeğin kuryesi geç hemde güç gelip deli edince mekan sahibi arayıp benden yemek zaman acıkırsan söyle getirsin an çok mutluyum param cepte kaldı skdjsksjsk,1,0
D126,yemek sepeti nefret etmeye başladım min tutar yazılı olduğu halde sipariş verdiğimde siparişimi sürekli iptal restorantlar tutarı yükseltsinler  kredi kartımda yer kalmadı iptal gele gele 2 3 güne yükleniyor giden tutar,0,0
D127,ayıp olmasın yarım göğüs koyun bari  salata yiyenler ciddiye alınmıyor anlamıyorum  aptal değiliz lezzetli bol malzemeli salata yemek istiyoruz sipariş verirken beklentimiz vur allahım vur kalbim kırık karnım aç,0,1
D128,kendi sipariş verdiğin kitabı secereni elalemin insanına dökmeden alamıyorsun mahkeme açılsın karar halen uygulanmıyor wikipedia kapalı dakikada parmaklar havada azar azar yün mü örelim! yok canım kaynanalarla berbat üslupla konuşup yemek yiyemeyelim,2,2
D129,yemek sipariş ettikten saniye kapı çaldı yemek gelmiş inanamadım ışık hızını bulmuş adamlar diyecektim yanlış gelmiş,2,2
D130,bu gece verdik mecbur kilo alacaz artık,0,2
D131,algınızı sevsinler uçakla getirtmiş ulan o uçağı yemek kaldırmış algısını yaratıyorsunuz thy,2,2
D132,yemek siparişi verdiğim restaurantın ortalama teslimat süresinin 65 75 dakika olduğunu sipariş onayı sonrası farkettim söyleyeceklerim kadar,0,0
D133,yemek sepetinden normalde elalemin siparisi gelmez yanlis gelir gec gelir benimki gayet duzgun sekilde gece geldi ısin ilginci demin kapi caldi ayni siparis geldi dakikai guncelmis parasi firmada cekildi gozukuyor bende cekilen birsey yok,1,0
D134,biri yemek sepetimden sipariş verip evime tost gönderiiş canım arkadaşım cok teşekkür ederimde tostun parasını ödeseydin bari aq,2,2
D135,bu dakikalerde czn burak profiline düşmek  yüce yaradan düşmanıma vermesin an 729 milyarlık edebilirim,2,2
D136,hava kötü olduğu etmeye vicdan yapma sorunu yaşıyorum,0,2
D137,olabilir anneme evde yemek mı sormadan dışardan sipariş veriyorum oluyo küçük çılgınlıklar,1,2
D139,sipariş ettiğim yemek gelmiştir,2,2
D140,mc donald's 45 dakika oldu burnumun dibindeki restauranttan yemek gelmedi kurye ye şimdi gözükecem ki,0,0
D141,canım sıkıldı yapsak dediğimde eve edip sherlock izleyelim diyen birini hayal ettim öylesine,2,2
D142,yurda gizli gizli etme çelınç yaşicaz birazdan kazamız mübarek olsun,1,2
D143,kurye üşümesin etmiyorum düşünceli insanım,1,2
D144,mc donald's 45 dakika oldu burnumun dibindeki restauranttan yemek gelmedi kurye ye şimdi gözükecem sipariş vermediğim zamanlarda kapıdan ayrılmayacak imamoğlu,0,0
D145,eve girerken etmekte biliyim,2,2
D146,madem fbm benle ilgilenmiyor seks hayatım bitti vücuduma dikkat etmeme gerek yok yemek sepetinden sipariş verildi,2,2
D147,bu havalarda edemiyorum yağmurda gelicek adamlar,1,2
D148,niye full dürüm yemek varken sipariş veren adamı yoruyorsunuz şu olsun olmasın diye,2,2
D149,gelme zeynep adam geçen bölüm zeynep gelmeden restoranda etmiyodu  nası dönüş ,2,2
D150,seninle yemek sepetinden zurna dürüm sipariş edip gelişini harry potter izleyerek bekleyebilirdik kaybettik mevcut savasi başımız sağolsun,2,2
D151,dışarıda o rüzgar ederken gelen kuryenin uçup uçmayacağını düşündüm dünya hassas kalpler cehennemdir,2,2
D152,yemek uygulaması glovo hesabımı askıya almış sipariş veremiyorum yazdım istediklerine bakın amk  teminat mektubu vereyim 20 liralik yemek icin isterseniz orospu cocukları,0,0
D153,hayırlı olsun paket servis olsunda arada edelim,2,0
D154,siparis verdiğim yemeği dakikate getiren restoran sahibinden siparisi teslim almadim 20 dakika trip yedim siparisi yemek sepetinden vermeyen kafami sileyim ben,0,0
D155,bulunduğum konumye gelmiyor yemek sepeti gelmediği sipariş veremiyom soorry canikom,0,0
D156,yemek sipariş ettim  şimdi geleneği getirip yerken izliyicek bulma zamanı  sonunda bulamasam aramak zorundayım  değişmez kural,1,2
D157,yemek sipariş verdiğim tuvalete gidemiyorum  acil servis lütfen,2,2
D158,iki gündür yataktan yemek (sipariş duş çıkıyorum hâlâ çok yorgunum,0,2
D159,param olmasına dışarıdan edeceğime evde annemin yaptığı ıspanak organik yoğurdu yedim  fitnessqueen fitnessmotivation,2,2
D160,hatayı yemek sepetine girip sipariş vermeyerek yapmışsın  ,1,2
D161,bira sipariş ediyorlar götürüyorum kimindi diyorum birbirlerine bakıyorlar yemek servisi kimeydi diyorum uzun bakışma abicim veriyo siparişleri o zaman,2,2
D163,kızlarla güya ders çalışmak araya geldik canımız sıkıldı yemek sepetinden baklava sipariş verdik  ders çalışmak dışı,1,2
D164,kızlarla güya ders çalışmak araya geldik canımız sıkıldı yemek sepetinden baklava sipariş verdik  ders çalışmak dışında türlü faaliyeti yapıyoruz,1,2
D165,gece yarısı ediyorumdur,2,2
D166,şey bugünün komik anısı etmiş parasını ödüyorum şimdi hayr yapçaksan tam yapsaydın be karşiimm,2,2
D167,antepte sipariş verirken normal olsun diyince türlü yemek acılı geliyor  az acılı olsun diyince normal acılı geliyo nolur acı koyma yalvarırım lütfen derseniz acısız yaparlar,0,1
D168,bu birzamanlar taxilerimiz telsizler vardı zaöanlar çok iyiydi ypl durumlarını alırdık ögle zaman geldi talsizler lahmacun börek poğoça yemek simit peynir siparişleri boş geyik muhabbetleri başlayınca iş bitti gelsinde çıkışta akşama bekliyorum ya,0,2
D169,babam evde olmadığı annem habire dışardan yemek al özel sipariş veriyor fkkdakikad,2,2
D170,kapalımaraşta kalmanın kötü olayı yemek sepetinden sipariş verememek   ,1,2
D171,bu kötü havalarda dışarıdan edeyim diyorum kurye dostumuzu düşünüp vazgeçiyorum inanıyorum çok insan düşünüyordur,1,0
D172,yiyenlerinin cogunun vegan olmadigini burgeri bitirdikten anlamasi ? yanlis siparis yenisini belese yemek icin yemeksepeti glovo dolandiranlara benziyo sanki,0,2
D173,spora yazılmak gidip geliyorum,2,2
D174,hava o karanlık dakikain sabah 8 olduğuna inandıramaz yağmur fırtına yemekhaneye inemiyoruz etmeyi düşünüyorum hadi motokuryeu süren abi kaza yaparsa havada düşünüyorum bugün kendimi kötü hissediyorum söylemek istedim,0,0
D175,2-3 gün geceleyin ettim gelen kuryenin yaşı 18 değildi yolda telefonunu düşürmüş ekranı paramparça olmuştu  sey demişti  abi bot alacaktım şimdi telefonu yaptırıcağım   kısmet değilmiş,0,0
D176,ben kilo mu aldım birazdan edeceğim almadın insan gibi huzurla yemek yiyelim aptallık etme!,0,2
D177,işe yarar duyar önereyim mi bugün peynir ekmek yiyin  dışardan etmeyin o dandik motokuryelarla tehlikeye,0,0
D178,sipariş ettiği yemek gelmiştir,2,2
D179,yemek sepetinden siparis vermek or uyumakkk secemiorum,2,2
D180,bu dakikalerde acıkıp sipariş gelmediği gündür ağlaya ağlaya yinede yemek videoları izleyerek uyuyorum,0,0
D181,bu dakikate yemek siparişi verdikten yaşadığın pişmanlık (ulan sipariş verdim simdi durup dururken  gerek vardi açlığım geçti hay aminyum,0,2
D182,sırf havalar soğuk eve etmiyorum iyi biriyim ,0,2
D183,mersin'de havalar mı yemek sepetinden sipariş verdim oturdum 7 büyük günahtan birini işlemiş gibi bekliyorum  mersin,0,2
D184,trendyoldan sevgiliyle birlikte ceyize yemek takımı siparis etmek,2,2
D185,yemek sipariş aradım hava muhalefetinden sipariş getiremiyoruz dediler  2 metre kar kapının abarttınız be kardeşim,0,0
D186,yemek yemeyi seven arkadaş güzel canım hamburger çekti diyorum hadi gidip yiyelim pizzaa dememe kalmadan sipariş verdim şükür allahım,1,2
D187,allahım dakikate ettik affet,0,2
D188,ıç sesiniz konuşabilir  plan yapabilir kararlarınıza itiraz edebilir edemez yok oha ya,0,2
D189,yemek sipariş yürüyüş gidip geliyorum allahım yardım et,2,2
D190,o salak haldeyim az ettiğimiz yerle tam kavga edecektim adam yolda diyince tamam teşekkürler yarım dakika bekledik 5 dakikalık götüremediler teşekkürler teşekkürler,0,0
D191,yemek siparis ettigim yer siparisimin yaninda siyah eldiven gondermis tamam mantikli korkunc manyakca sanki,0,0
D193,bu havada bencil pis boğazını bastılamayan nefsini yenemeyip verip kuryeleri yüz felci geçirecek vicdansızlığa sahip olana diyorduk   ,0,2
D194,dün yemek söylediğim yeri arayıp ellerinize sağlık çok beğendim diyip sipariş verdim  not insanı mutlu,1,1
D195,neyseki oda ederken numarayı hesap makinasına yazdı,2,2
D196,bu yağmur fırtınada dışardan etmemen gerektiğini kuryeci abi kapıya motokurye kaskıyla sırılsıklam geldikten farketmem dakikalerdir vicdan azabı çekiyor olmam   ,0,0
D197,yemek sepetinden sipariş verirken  notlara kez soğuk getirirseniz o yemeği götünüze sokarım yazmanın zamanı geldi,0,1
D198,yemek sepetin den sipariş veriçektimki hava çok yağmurlu kurye yi düşündüm lanet olsun içimdeki insan sevgisine,0,0
D199,sipariş dakikaten uzun sürede geliyor kayseri  kesinlikle sipariş vermeyin  sipariş verdim aç kaldım  dakika dayanamadım iptal ettim  şimdi farklı yerde yemek yiyorum ,0,0
D200,mutsuz yorgunumdur midem  yemek ye  abur cubur ye  sipariş et keyfin gelsin mutluyumdur midem  hadi yemek ye  abur cubur ye  sipariş et kutla bunu,2,2
D201,bu soğuk hava yağmurda kurye abimiz ıslanmasın etmeye çekiniyorum,0,0
D202,olum vereceğim zaman 15 lira veriyorum kuryelerin geldiği yol boşuna olmasın neyin kafasındasın ha,1,0
D203,bu soğuk hava yemek sepetinden lokma sipariş etme mk yolda yürünmüyor bile,0,0
D204,yemeksepeti hastalığına düştüm  kurtulamıyorum  günde öğün yemek siparişi veriyorum kesinlikle doymuyorum  sonsuza durmadan sipariş verip yemek yemek istiyorum  depiresiyona mı girdim ya,0,0
D205,"tamam mi kırcam ellerimle fotoğrafını çeker yollarım malum ankara/istanbul arası soğur 
yemek sepetinden kahve sipariş eder facetime açar karşılıklı içeriz",1,2
D206,ya yemek sepetinde sipariş notu düşerken lütfen zahmet olmazsa gibi kalıplar kullanıp cümle sonunda teşekkür ediyorum nazik olmayı öğretmedi mi,1,2
D207,yemek sepetinden sipariş alındığı halde kapalı dönüş yapılıyor aç kaldık açız,0,0
D208,o zaman havalarda vermesin insanlar,0,0
D209,anneannem seslendi yemek sepetinden sipariş verelim  aşkitom yemek sepetini nerden biliyorsun kurban olurum,1,2
D210,marki  kuryeye ayıp olmasın soğuk havalarda yemek siparişi vermedik kötü olan ekonomide sipariş vermediği için…,0,0
D211,sabahtan beri adım numaramla hesap açıp allahtan konumimi tam tutturamamıs arka sokagımı girmi,2,2
D212,sabahtan beri adım numaramla hesap açıp allahtan konumimi tam tutturamamıs arka sokagımı girmis  50 kere aradınız siparis degil diyorum engelleyin diyorum adam 5  kez farklı hesabı actı rahatsız edilmeye devam ediyorum,0,0
D213,kuryeye ayıp olmasın soğuk havalarda yemek siparişi vermedik  kötü olan ekonomide sipariş vermediği lokantalar battı kuryeler işsiz kaldı  iyilikten maraz doğar senaryosu kafamda ,0,0
D214,evlerine yemek market alışverişi sipariş eden prens prenseslerin kurye duyarı vakti o yüce gönüllüler sipariş vermeden 40 kere düşünürler sosyal medyada kurye acitasyonu mesaisi yaparlar   offf yüce gönüllü olmak çok zor tanrım orta kahve lütfenn,0,2
D215,yemek sepetin den sipariş veriçektimki hava çok yağmurlu kurye yi düşündüm lanet olsun içimdeki insan sevgisine,0,0
D216,işe yarar duyar önereyim mi? bugün peynir ekmek yiyin  dışardan etmeyin o dandik motokuryelarla tehlikeye,0,0
D217,az yemek sepeti kuryecisi motokuryela kaza yaptı yanımda bidaha havalarda sipariş vermeyeceğim çok üzgünüm,0,0
D218,evdeyim dışardan yemek şipariş vereyim,2,2
D219,hava soğuk etmeyen insanı kırdınız   ,0,2
D220,bffm (21 yemek yemeğe geldiğimiz kafede sipariş beklerken pou oynuyo arki listeme reset lazım resetttt,0,2
D221,servis elemanı gelirken ıslanmasın tost yiyorum,0,0
D222,plot twist  motokuryecu kopru sonundaki kontrol noktasina yemek goturuyor yemegi siparis edenler arabadaki polisler,2,2
D224,bu yağmur dün gece eve gelirken o çok yağlıışta motokuryeuyla yemek götüren paketçi abiyi bile sipariş veren o insanı unutturmayacak,0,0
D225,yağmurlu havada dışardan etmiyorum minnoş kuryeler üşümesin diye,0,0
D226,en az 20 dakikatir sağanak yağmur yağıyor  havada ederseniz paketçi gelince ödemeyi değil annenizi sorar,0,0
D228,açım  çıksam yemek alsam havada sipariş versem ayrı dert,0,2
D229,acıktım  edip tek başıma yiyeceğime manitayla beraber yeriz  o yüzden uyuyom bb,2,2
D230,ac olduhum halde yemek siparis etmedim kuryeler yagmurda islanmasin diyw iste bizde bole koministiz,0,0
D231,gece gece edeyim asansör bozuldu şemsiyem kırıldı ıslandım 0 iştahla yemeğime bakıyorum,0,2
D232,yurda girerken çantamız aranıyor hazır yemek olduğunda içeri alınmıyor bildiğim kadarıyla erkek yurtlarında dışarıdan edilebiliyor ortada eşitsizlik olduğunu düşünüyorum,0,2
D233,yemek tıkınırken diyosun buluşmada salata sipariş ediyosun burdan tek şey çıkartıyorum galiba sevmiyosun   ,0,2
D234,bir buçuk dakika sipariş verdik yemek sepetinden geliceksiniz iş kar yağışı yoktu siparişten şuan lapa lapa yağıyo hdhfjsjdj  beklenen dakika yarım dakikati iş,0,0
D235,yemek siparis vericem getiren adam ucmasin ac kalmak mantıklı,0,0
D236,polisimize teşekkür ederim  bugün şiddetli rüzgar yağmur olmasına baktım millet ha bire yemek siparişi veriyor dışarıdan  kötü hava koşullarında dışardan sipariş verip motokuryelu kişilerin hayatını riske atmam! millet düşünceli değil maalesef,0,0
D237,arkadaş seçimi çok önemliiii gece gece ettiren arkadaş değil şeytandır,0,2
D238,belki birilerinin gunluk cirosu az oynayacak yinede deger  motokurye kuryeli isletmelerden ozellikle yemek icmek icin boyle asiri ruzgarli soguk gunlerde siparis vermeyelim lutfen,0,0
D239,bayılıyorum gece tam uyuyacakken edip uykumu 2-3 dakika ertelemeye,1,2
D240,sevgilimle ayrıldık rahatım akşama dizi gecesi yaparım konuları bitirdim makaleleri tamamlayıp posta attım banyomu yaptım ettim netflixe girdim 30 gün ücretsiz deneyin  benden ayrılması koymadı yemin ediyorummmm,1,2
D241,bir keresinde yemek siparis verdikten yagmur baslamisti hava asiri soguktu kurye gelince kuryeden özür dilemistim,0,0
D242,yemek siparis vericem getiren adam ucmasin ac kalmak mantıklı,0,0
D243,belli yemek  siparis veren bok yesin,0,2
D244,iyi geceler telefonı almak mı? yemek sepetinden sipariş mi deseler kesinlikle yemek sepeti diyenler seri like ,1,2
D245,yemek sipariş ettim gelen kuryenin anlık hali ektedir çanakkalehavadurumu,0,0
D246,açım odada benle beraber edecek tek insan evladı yok   ,0,2
D247,yemek lezzetli değilse ahçı mutlaka karışımda şeyi eksik bırakmıştır  sipariş edilen ürün bozuksa mutlaka fabrikasy,0,2
D249,bu dakikate çok çalıştın yemek yapmamışsındır aç durma diyip pizza sipariş veren insanı başımızdan eksik etmesin amin ecmain,1,2
D250,az yemek sepetinden lokma siparis ettim yolda siparislar karısmıs allah askıma hanginiz lokmayı bonibonla yiyo bonibon sakadan intihar etme seyi degil mi,0,0
D251,bize telefon yasakken bedelli erin telefonunu odasında şarj eden asteğmenler terhis olmuş galiba atlanmış dışardan yemek söyledi bedelli ere ceza verip başkalarıyla beraber veren asteğmenler,0,2
D252,kardeşime dışarıdan gelirken yemek al hesabı kitleyecektim arayıp eve sipariş etmiş hesabı kitledi   benden zeki olması canımı sıkıyo,0,2
D253,ders çalışcam yemek yapmayıp sipariş verdin git ders çalış lan,0,2
D254,yemek yiyelim  sipariş verecektik yurtta yemeye karar verdik   ,2,2
D255,ey yemek sepeti min tutarı 15lira diyosunuz yemekleriniz 35liraden başlıyo alim peçete ıslak mendil,0,0
D256,marul turşu yemek istesem çiğ köfteciye giderim birader adam akıllı sipariş alın 25imden hamburger dükkanı açmak zorunda bırakmayın,0,0
D259,ulan verdim vicdan azabı çekiyorum havaya bak uçarak balkona konacak kurye abim  gerçekten özür dilerim,0,0
D260,yemek sepetini silmisim geri yükleyemiyorum simdi öyküden icin siparis vermesini isteyip sadakatini ölcme vakti insallah et yemedigimi bile serefsizligine et ister benden güzel dayak yer,0,2
D261,sevgili yemeksepeti ihtiyaç sahibi kardeşlerimize yemek gönderiek istiyoru…,1,2
D262,pizza buysa bizde eve gelen sipariş gelirse yemek speetinden tut  şirketin genel müdürlüğüne telefon açarlar bedava pizza alabilmek için,0,1
D263,sipariş verirken tavuk döner yemek istemiyorum ağladım şimdi tiviti döner yiyerek atıyorum öğrencilik hakkında söyleyeceklerim kadar,0,1
D264,eveeett ettim 2 sezon dizi izliyim finale gelir artık,1,2
D265,sevgili yemeksepeti ihtiyaç sahibi kardeşlerimize yemek gönderiek istiyoru,1,2
D266,yemek marketten alışveriş yaptım  etseydim az zararlı çıkardım,1,0
D267,1 5 dakikatir yemek sepetinden sipariş beklemek kapı sesini motokurye sesini üzerine alınmak,0,0
D268,hava soğuk yemek almaya çıkmıyorum  kuryelere kıyıp sipariş veremiyorum  hassas kalp olmak o zor ki,0,0
D269,yemek siparişi verdim tam 1 dakikatir cama yapışmış bekliyorum abi kırıkkale'nin tamamını dolansan 1 dakika etmez gelmedi sipariş,0,0
D270,yemek mi sipariş ediyon lan glscmslfmwk,2,2
D271,sevgili yemeksepeti ihtiyaç sahibi kardeşlerimize yemek gönderiek istiyoru,1,2
D272,yemek sipariş edicem çok yağmur yağıyor etmiyorum dünya hassas kalpler cehennem,0,0
D273,yemek siparişim geldi kurye uzun zamandır sipariş vermiyodunuz     paramı o çok yemeğe harcıyorum kurye tanıyor beni,1,0
D274,kuryelerin soğuk havada yemek siparişi götürmek istemediğini düşünerek yıllarca havalar soğuyunca sipariş vermedim kuryelerin beklediği çok bahşiş aldıkları dönem meğerse dönemmiş soraraköğrendim,0,0
D275,kız yurdunda yurda dışarıdan çantamızda hazır yemek sokmak yasakken erkek yurtlarında dışardan sipariş verilmesi hakkında konuşulsun da,0,2
D276,yağmurda kötü olay görmedim geç geldiği yetmiyormuş gibi kurye ıslanıyo    yemek ıslanıyoo yönden zarar sadece,0,0
